STATEFIPS,STATE,zipcode,agi_stub,N1,mars1,MARS2,MARS4,PREP,N2,NUMDEP,TOTAL_VITA,VITA,TCE,VITA_EIC,RAL,RAC,ELDERLY,A00100,N02650,A02650,N00200,A00200,N00300,A00300,N00600,A00600,N00650,A00650,N00700,A00700,N00900,A00900,N01000,A01000,N01400,A01400,N01700,A01700,SCHF,N02300,A02300,N02500,A02500,N26270,A26270,N02900,A02900,N03220,A03220,N03300,A03300,N03270,A03270,N03150,A03150,N03210,A03210,N03230,A03230,N03240,A03240,N04470,A04470,A00101,N17000,A17000,N18425,A18425,N18450,A18450,N18500,A18500,N18800,A18800,N18300,A18300,N19300,A19300,N19500,A19500,N19530,A19530,N19550,A19550,N19570,A19570,N19700,A19700,N20800,A20800,n21020,a21020,N04800,A04800,N05800,A05800,N09600,A09600,N05780,A05780,N07100,A07100,N07300,A07300,N07180,A07180,N07230,A07230,N07240,A07240,N07220,A07220,N07260,A07260,N09400,A09400,N85770,A85770,N85775,A85775,N09750,A09750,N10600,A10600,N59660,A59660,N59720,A59720,N11070,A11070,N10960,A10960,N11560,A11560,N06500,A06500,N10300,A10300,N85530,A85530,N85300,A85300,N11901,A11901,N11902,A11902
1,AL,35004,5,630,50,560,20,330,1800,610,0,0,0,0,0,60,130,81057,630,81672,600,67994,270,294,130,126,120,97,360,324,130,2616,100,383,100,2282,170,5404,0,0,0,110,2584,60,4010,220,615,30,8,0,0,0,0,0,0,110,115,20,36,0,0,430,9611,56888,30,243,410,2242,0,0,390,329,330,99,430,2729,390,2745,0,0,0,0,20,15,0,0,400,2749,130,1216,0,0,630,61675,630,10441,0,0,0,0,290,481,40,5,110,80,60,83,0,0,190,251,20,5,80,340,0,0,0,0,0,0,620,10716,0,0,0,0,0,0,50,47,0,0,620,9960,620,10323,0,0,0,0,230,1030,390,1351
1,AL,35004,6,60,0,60,0,50,150,40,0,0,0,0,0,0,20,19929,60,20250,60,10137,40,144,30,79,20,51,40,105,0,0,30,784,0,0,20,845,0,0,0,0,0,0,0,20,321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,3262,18156,0,0,50,577,0,0,50,86,40,17,50,681,40,356,0,0,0,0,0,0,0,0,50,1164,0,0,0,0,60,16069,60,4009,0,0,0,0,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,4063,0,0,0,0,0,0,0,0,0,0,60,3951,60,4113,0,0,30,20,30,776,20,200
1,AL,35005,1,1310,760,160,380,710,2150,830,30,30,0,0,30,440,280,17792,1310,18061,1050,14191,110,64,40,35,30,23,30,11,240,675,0,0,80,491,210,2136,0,50,177,80,128,0,0,200,269,30,6,0,0,0,0,0,0,20,15,30,71,0,0,100,1230,1622,70,339,40,42,40,28,50,33,60,16,100,129,60,278,0,0,0,0,0,0,0,0,90,252,40,172,0,0,550,3154,560,345,0,0,40,13,200,65,0,0,20,7,50,27,70,13,60,15,0,0,150,204,80,315,80,319,30,11,1230,3455,600,1814,550,1658,360,452,120,110,40,25,430,279,590,500,0,0,0,0,110,83,1150,3032
1,AL,35005,2,960,410,230,300,530,1920,720,20,20,0,0,30,320,210,34741,960,35066,840,29418,150,92,60,73,50,54,150,79,120,-253,50,27,90,724,210,3560,0,30,101,190,1164,30,187,160,325,0,0,0,0,0,0,30,85,90,109,0,0,0,0,270,3845,10295,120,724,200,369,40,54,180,122,180,62,270,644,180,798,0,0,0,0,80,88,0,0,250,991,120,567,0,0,930,16864,930,2054,0,0,30,30,450,443,0,0,90,50,90,110,180,33,250,217,50,24,40,100,40,108,50,154,50,36,950,4026,290,588,250,509,220,300,80,81,0,0,730,1611,770,1768,0,0,0,0,120,176,830,2415
1,AL,35005,3,450,130,190,120,270,980,340,0,0,0,0,0,110,120,27410,450,27538,410,22677,110,76,40,75,30,57,140,81,60,26,30,16,40,410,120,2481,0,30,89,100,1533,0,0,110,128,30,8,0,0,0,0,0,0,80,78,0,0,0,0,210,3626,12907,60,419,170,471,50,69,160,129,150,48,210,732,160,794,0,0,0,0,50,50,0,0,200,1047,80,465,0,0,450,17293,450,2390,0,0,0,0,200,317,0,0,40,22,60,90,30,5,120,178,40,36,30,46,0,0,0,0,0,0,450,3046,0,0,0,0,0,0,50,50,0,0,430,2073,440,2155,0,0,0,0,90,167,360,1047
1,AL,35005,4,200,40,150,30,120,490,140,0,0,0,0,0,50,50,17202,200,17286,190,14129,50,36,20,29,20,23,80,75,30,-85,40,24,30,597,60,1396,0,0,0,50,777,0,0,40,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,2085,8723,40,241,90,302,0,0,90,81,70,32,100,469,90,410,0,0,0,0,30,38,0,0,100,596,50,369,0,0,200,11928,200,1732,0,0,0,0,80,141,0,0,30,23,0,0,0,0,60,86,0,0,30,18,0,0,0,0,0,0,200,2013,0,0,0,0,0,0,0,0,0,0,200,1590,200,1701,0,0,0,0,40,125,150,485
1,AL,35005,5,180,0,160,0,110,480,140,0,0,0,0,0,0,50,23653,180,23739,170,18150,70,26,30,37,30,29,100,86,30,-95,0,0,30,906,60,2339,0,0,0,40,756,0,0,50,86,0,0,0,0,0,0,0,0,20,24,0,0,0,0,110,2749,15404,0,0,100,519,0,0,110,117,90,42,110,752,100,516,0,0,0,0,0,0,0,0,110,956,40,337,0,0,180,18102,180,3128,0,0,0,0,70,100,0,0,0,0,30,41,0,0,40,47,0,0,0,0,0,0,0,0,0,0,180,3339,0,0,0,0,0,0,30,25,0,0,180,3027,180,3138,0,0,0,0,70,309,110,385
1,AL,35005,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,AL,35006,1,430,250,110,70,250,700,210,0,0,0,0,30,100,100,5722,430,5786,340,4280,40,39,0,0,0,0,0,0,70,424,0,0,30,191,80,707,0,30,98,20,45,0,0,60,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170,1038,170,114,0,0,0,0,40,9,0,0,0,0,0,0,0,0,0,0,0,0,50,81,50,198,50,206,30,18,400,1015,170,455,150,397,100,114,0,0,20,8,160,105,200,193,0,0,0,0,30,26,380,841
1,AL,35006,2,330,120,140,70,220,690,220,0,0,0,0,0,80,90,11889,330,11957,280,8856,50,19,50,54,40,23,30,12,50,237,30,4,40,572,90,1855,0,0,0,90,587,0,0,40,68,0,0,0,0,0,0,0,0,30,25,0,0,0,0,70,1100,2288,40,310,40,60,40,47,50,42,60,18,70,151,40,166,0,0,0,0,0,0,0,0,60,240,40,225,0,0,310,5626,310,673,0,0,0,0,130,110,0,0,0,0,40,39,80,14,90,72,20,4,20,44,0,0,0,0,0,0,330,1429,100,195,70,163,70,94,50,39,0,0,260,563,270,612,0,0,0,0,30,28,300,839
1,AL,35006,3,190,40,130,30,140,470,150,0,0,0,0,0,30,60,11830,190,11897,180,9263,50,14,0,0,0,0,30,22,0,0,0,0,0,0,50,1324,0,40,111,60,866,0,0,30,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,767,2966,40,204,40,153,0,0,40,30,40,16,50,208,40,188,0,0,0,0,30,27,0,0,40,163,0,0,0,0,190,7516,190,1023,0,0,0,0,80,125,0,0,0,0,0,0,0,0,60,102,0,0,0,0,0,0,0,0,0,0,190,1338,0,0,0,0,0,0,0,0,0,0,190,898,190,917,0,0,0,0,40,63,150,478
1,AL,35006,4,120,20,100,0,90,340,120,0,0,0,0,0,30,30,10779,120,10835,120,8692,40,6,30,54,30,43,30,22,40,251,20,-8,30,946,40,991,0,0,0,30,543,0,0,30,56,0,0,0,0,0,0,0,0,20,20,0,0,0,0,50,845,4195,0,0,40,161,0,0,40,39,40,16,50,236,40,203,0,0,0,0,0,0,0,0,40,222,40,240,0,0,120,7596,120,1091,0,0,0,0,60,107,0,0,0,0,30,35,0,0,50,84,0,0,30,47,0,0,0,0,0,0,120,1375,0,0,0,0,0,0,20,23,0,0,120,984,120,1024,0,0,0,0,30,50,100,394
1,AL,35006,5,130,0,120,0,90,360,120,0,0,0,0,0,0,30,16894,130,16943,120,12616,60,26,0,0,0,0,60,59,0,0,0,0,0,0,60,1957,0,0,0,30,597,0,0,30,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,1559,10117,0,0,60,378,0,0,60,64,60,26,70,495,60,317,0,0,0,0,0,0,0,0,70,465,0,0,0,0,130,13175,130,2253,0,0,0,0,50,90,0,0,0,0,0,0,0,0,40,49,0,0,0,0,0,0,0,0,0,0,130,2435,0,0,0,0,0,0,0,0,0,0,130,2162,130,2236,0,0,0,0,50,148,80,321
1,AL,35006,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,AL,35007,1,4070,2700,540,750,1720,5610,1940,90,30,50,0,40,690,680,48951,4070,50123,3060,37548,390,205,240,378,220,226,100,50,900,5447,180,14,230,1509,440,3925,0,70,194,200,380,60,220,940,1172,0,0,0,0,70,257,20,51,150,131,40,131,0,0,350,4873,5297,240,2023,130,123,170,122,190,208,210,46,340,544,190,1087,0,0,0,0,50,54,0,0,260,705,110,405,0,0,1640,9593,1650,1041,0,0,90,32,430,147,0,0,40,13,120,69,160,28,120,34,0,0,710,1002,270,1144,280,1119,90,52,3580,8000,1230,3457,1090,2956,840,1069,250,223,160,101,1370,893,2040,1974,0,0,0,0,530,466,3270,6474
1,AL,35007,2,2650,1160,790,600,1180,5360,1940,80,30,50,0,30,520,540,96474,2650,97782,2290,78563,410,289,220,389,180,245,340,177,430,3400,160,81,230,2512,480,7891,30,60,174,450,3147,70,806,670,1308,80,17,0,0,60,254,40,156,270,302,20,77,0,0,680,9754,26231,270,1708,510,849,150,178,500,511,450,119,680,1685,500,2690,0,0,40,7,180,233,0,0,550,1854,230,1458,0,0,2530,47385,2520,5852,0,0,110,79,1150,1118,30,1,180,100,250,278,390,71,680,623,60,33,300,750,150,612,170,699,130,92,2580,10695,700,1395,550,1099,550,768,190,176,50,51,1980,4734,2170,5631,0,0,0,0,450,721,2170,5708
1,AL,35007,3,1820,560,950,250,850,4210,1450,0,0,0,0,0,310,430,112195,1820,113391,1630,91238,450,251,270,643,240,401,510,305,310,1022,210,236,190,3019,390,8739,0,30,57,350,5347,70,656,590,1196,60,14,0,0,40,252,40,125,300,337,30,80,0,0,810,12963,50307,200,1359,700,1778,110,173,680,672,590,169,810,2831,660,3648,40,102,0,0,240,304,0,0,700,3027,230,1629,40,281,1810,71243,1810,9856,0,0,30,29,860,1326,50,3,160,91,190,261,160,24,600,891,70,35,230,555,30,107,40,147,30,30,1790,12104,0,0,0,0,120,174,140,134,0,0,1700,8530,1740,9190,0,0,0,0,410,988,1380,3807
1,AL,35007,4,1340,210,1020,90,630,3620,1260,0,0,0,0,0,170,330,116306,1340,117375,1230,94483,450,214,260,535,240,366,480,360,230,2330,190,601,160,3381,330,8001,0,40,107,260,5433,70,1361,470,1069,80,21,0,0,30,195,30,84,230,255,0,0,0,0,680,12538,59836,130,926,620,2190,50,96,620,632,530,165,680,3139,600,3697,0,0,30,22,220,323,0,0,610,2863,200,1373,0,0,1340,81132,1340,11743,0,0,30,55,680,1258,50,2,170,108,150,207,0,0,520,892,60,20,180,509,0,0,30,63,20,32,1330,13014,0,0,0,0,0,0,100,100,0,0,1330,10485,1330,11122,0,0,0,0,370,1037,950,2870
1,AL,35007,5,1820,140,1630,60,920,5420,1970,0,0,0,0,0,150,410,237397,1820,239695,1740,195228,800,513,450,1246,410,1027,1050,1002,340,5725,320,1202,250,6426,460,14407,0,40,139,310,7380,150,4503,700,2298,120,31,0,0,60,560,60,271,310,321,40,90,30,246,1320,28824,175607,100,847,1250,6685,70,147,1260,1596,1070,429,1320,8921,1210,8550,40,103,80,36,80,50,0,0,1220,7718,290,2295,40,1800,1820,180283,1820,30575,30,41,0,0,880,1372,90,5,270,155,260,379,0,0,510,742,80,36,260,1071,0,0,0,0,0,0,1800,31301,0,0,0,0,0,0,250,239,0,0,1820,29203,1820,30561,0,0,0,0,700,3396,1090,3898
1,AL,35007,6,240,0,210,0,150,730,280,0,0,0,0,0,0,70,78251,240,79516,230,48358,160,214,110,451,110,394,160,300,50,3356,100,2668,40,2218,80,3440,0,0,0,40,1059,70,14887,70,1265,0,0,0,0,20,275,0,0,0,0,0,0,0,0,230,9721,73795,0,0,220,2509,0,0,210,416,170,91,230,3060,190,1699,0,0,0,0,0,0,0,0,210,3397,30,380,0,0,240,65990,240,16814,50,148,0,0,70,35,30,2,30,14,0,0,0,0,0,0,0,0,30,274,0,0,0,0,0,0,240,13491,0,0,0,0,0,0,0,0,0,0,240,16778,240,17344,90,79,90,83,130,3040,90,560
1,AL,35010,1,3620,1830,440,1300,1660,6230,2540,310,170,150,90,220,1050,630,48631,3620,49317,2980,40352,360,360,170,369,160,246,60,18,510,2468,150,95,200,1212,450,3668,0,160,322,170,339,20,9,500,686,0,0,0,0,50,181,0,0,70,60,20,69,0,0,180,2737,2735,140,1309,60,79,100,102,100,70,120,23,170,342,80,356,0,0,0,0,0,0,0,0,140,376,60,318,0,0,1370,7526,1390,828,0,0,90,45,500,162,30,0,80,25,110,51,140,28,180,53,0,0,380,524,210,850,220,910,90,52,3400,10594,1850,5723,1740,5315,1230,1514,300,301,100,48,1020,666,1430,1247,0,0,0,0,220,193,3240,9508
1,AL,35010,2,2070,750,600,670,1010,4530,1870,170,90,80,0,70,530,440,73020,2070,73623,1840,61404,330,239,150,473,140,348,150,71,250,1065,110,145,150,1348,370,5810,40,70,111,380,2392,30,287,330,603,50,13,0,0,40,173,30,121,130,124,20,52,0,0,300,4726,11249,170,1198,200,329,80,108,210,127,200,41,300,619,190,1057,0,0,0,0,60,54,0,0,250,1137,100,612,30,174,1990,33912,1990,4082,0,0,70,50,980,841,0,0,150,78,150,149,330,61,590,502,80,52,150,298,100,380,120,448,100,71,2030,8698,630,1357,540,1182,510,783,120,108,30,17,1490,3241,1560,3619,0,0,0,0,270,397,1780,5377
1,AL,35010,3,890,220,540,110,530,2080,640,50,0,50,0,0,120,260,54833,890,55400,760,42048,250,462,130,337,120,217,150,95,150,1249,110,335,110,1210,240,5505,0,40,110,230,3596,40,364,260,567,50,11,0,0,30,172,30,134,110,112,0,0,0,0,280,4768,17524,90,510,220,537,60,108,210,151,180,48,280,855,190,969,20,53,0,0,40,57,0,0,240,1356,100,831,0,0,890,34860,890,4739,0,0,30,66,400,582,20,2,90,50,60,70,90,15,270,384,40,50,100,307,30,79,40,154,0,0,880,5889,0,0,0,0,40,38,40,37,0,0,850,4156,860,4494,0,0,0,0,210,459,660,1783
1,AL,35010,4,530,60,420,40,310,1340,390,30,0,30,0,0,50,180,45354,530,45675,440,32498,220,260,90,572,90,482,140,101,100,778,90,307,90,1411,180,5904,20,20,53,160,3365,30,418,180,321,40,12,0,0,0,0,0,0,70,59,0,0,0,0,230,4721,20452,50,523,170,552,60,123,210,192,190,46,230,919,180,1261,0,0,0,0,40,55,0,0,220,1293,70,550,0,0,520,31671,520,4459,0,0,0,0,230,442,30,22,80,50,50,65,0,0,160,277,20,29,80,166,0,0,0,0,0,0,520,5055,0,0,0,0,0,0,30,29,0,0,520,4017,520,4215,0,0,0,0,140,359,370,1146
1,AL,35010,5,620,50,570,0,430,1700,510,0,0,0,0,0,30,250,81780,620,82557,520,54654,340,520,200,1402,190,1173,270,300,130,1870,180,1555,130,4344,220,8861,30,0,0,200,5201,100,2163,230,777,60,16,0,0,30,257,30,157,60,67,0,0,0,0,400,9753,54826,60,500,350,1857,70,193,380,574,330,105,400,2677,340,2802,0,0,60,15,0,0,0,0,380,2549,100,820,20,249,620,62343,620,10353,0,0,0,0,290,374,70,9,90,50,60,77,0,0,140,177,40,31,90,344,0,0,0,0,0,0,610,10640,0,0,0,0,0,0,50,50,0,0,620,9979,620,10400,0,0,0,0,280,1232,300,1244
1,AL,35010,6,180,0,160,0,150,450,120,0,0,0,0,0,0,90,76419,180,77747,160,35702,140,1594,110,4622,100,3758,90,332,50,5685,120,6498,50,1744,70,4738,0,0,0,60,1381,80,13078,80,1328,0,0,0,0,40,424,0,0,0,0,0,0,0,0,160,13826,71330,0,0,150,2926,0,0,160,675,120,49,160,3727,130,2169,0,0,30,5,0,0,40,260,160,3358,30,829,0,0,180,61252,180,16570,60,524,0,0,70,548,50,158,0,0,0,0,0,0,0,0,0,0,60,449,0,0,0,0,0,0,180,17981,0,0,0,0,0,0,0,0,0,0,180,16043,180,17036,70,133,90,351,90,1703,60,711
1,AL,35014,1,660,360,80,210,370,1030,390,0,0,0,0,40,170,110,8620,660,8752,550,7202,80,32,40,60,30,40,0,0,100,374,30,24,30,198,80,780,0,50,150,30,52,0,0,100,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,490,745,20,122,30,22,30,37,0,0,20,3,40,50,0,0,0,0,0,0,0,0,0,0,40,102,30,133,0,0,270,1367,270,144,0,0,20,8,90,28,0,0,0,0,0,0,30,5,30,8,20,12,70,87,50,193,60,192,0,0,610,1717,320,922,300,846,190,225,60,59,20,7,200,115,280,217,0,0,0,0,50,36,580,1535
1,AL,35014,2,460,150,110,190,280,930,370,0,0,0,0,20,100,90,16221,460,16340,410,13992,70,27,0,0,0,0,70,44,60,-109,0,0,40,438,80,1487,30,0,0,70,443,0,0,70,119,0,0,0,0,0,0,30,75,50,57,0,0,0,0,120,1955,4650,60,338,100,142,0,0,90,40,90,22,120,229,70,343,0,0,0,0,0,0,0,0,110,452,80,610,0,0,440,7473,440,898,0,0,0,0,220,194,0,0,40,22,70,67,120,23,120,107,0,0,20,47,0,0,0,0,30,18,450,1868,150,322,140,280,100,120,30,26,0,0,340,704,360,777,0,0,0,0,60,100,390,1187
